Name,Clean Name,Short Name,Summary Name,Price (₹),Original Price (₹),Discount (%),Rating,Reviews,Sold Last Month,url
ACwO DwOTS 121 Wireless Earbuds | 55Hrs Playtime | Quad Mics with ENC | 3 Preset EQ Modes | Supreme Bass & High-Fidelity Acoustics | Bluetooth V5.4 – 10mins Charge = 120mins Playtime (Classic Black),ACwO DwOTS 121 Wireless Earbuds  55Hrs Playtime  Quad Mics with ENC  3 Preset EQ Modes  Supreme Bass  HighFidelity Acoustics  Bluetooth V54  10mins Charge  120mins Playtime Classic Black,ACwO DwOTS 121 Wireless Earbuds 55Hrs,Acwo Earbuds,949.0,3599.0,74.0,3.9799583911234397,0.0,0.0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTc0MjI3MjY4OTAyMTU6MTc0Mzc3MDMxMDpzcF9hdGY6MzAwNTA5NTYyMzk4MjMyOjowOjo&url=%2FACwO-Wireless-High-Fidelity-Acoustics-Bluetooth%2Fdp%2FB0DX7FP1T1%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.XMIG7Keqtl3xznn0MEIVW5KAllUpiYg8Wzts-VgfkGuk6BeicyvgnKibcpsOL1DfRmajvg3LmLIOljpB3Sm9Qsd107jKClZJb2wmxMm6Y5CdKlPLIAG-7bYa9MGxD9NSJsO7NBC0OvJ-HFqff2VJxoD-AlmvkLeROqm4BXmRqSfsduD0hYkpcJlyiYmydsPkjw2MkX-W8P2Sgjh2eVvDuIkUPKACm31IyLMB1AOTPlIpe1iZRRz6Hq6CK3ePTiqteVzqXsvHVR-_7leUFkixH3-grvILM2B9oMtL7jkuON0.6gsTS_eKWp3AzSVUHOjJFd2cdZFI3saR6mAKjfpDf1o%26dib_tag%3Dse%26keywords%3Delectronics%26qid%3D1743770309%26s%3Delectronics%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"TOZO A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Blue",TOZO A1 Mini Wireless Earbuds Bluetooth 53 in Ear LightWeight Headphones Builtin Microphone IPX5 Waterproof Immersive Premium Sound Long Distance Connection Headset with Charging Case Blue,TOZO A1 Mini Wireless Earbuds Bluetooth,Tozo Earbuds case,1590.0,6999.0,77.0,4.2,6707.0,0.0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTc0MjI3MjY4OTAyMTU6MTc0Mzc3MDMxMDpzcF9hdGY6MzAwMTY0MjcwNTEwMzMyOjowOjo&url=%2FTOZO-A1-Light-Weight-Headphones-Microphone%2Fdp%2FB09ZYCFDBL%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.XMIG7Keqtl3xznn0MEIVW5KAllUpiYg8Wzts-VgfkGuk6BeicyvgnKibcpsOL1DfRmajvg3LmLIOljpB3Sm9Qsd107jKClZJb2wmxMm6Y5CdKlPLIAG-7bYa9MGxD9NSJsO7NBC0OvJ-HFqff2VJxoD-AlmvkLeROqm4BXmRqSfsduD0hYkpcJlyiYmydsPkjw2MkX-W8P2Sgjh2eVvDuIkUPKACm31IyLMB1AOTPlIpe1iZRRz6Hq6CK3ePTiqteVzqXsvHVR-_7leUFkixH3-grvILM2B9oMtL7jkuON0.6gsTS_eKWp3AzSVUHOjJFd2cdZFI3saR6mAKjfpDf1o%26dib_tag%3Dse%26keywords%3Delectronics%26qid%3D1743770309%26s%3Delectronics%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Ambrane Extension Board, 10 Ports with 4 USB Ports + 6 Power Sockets Smart Electric Surge Protector Multi Plug with 2500W, 3Mtr Cord Length, 2.1A USB Output (Smartstrip, Black)",Ambrane Extension Board 10 Ports with 4 USB Ports  6 Power Sockets Smart Electric Surge Protector Multi Plug with 2500W 3Mtr Cord Length 21A USB Output Smartstrip Black,Ambrane Extension Board 10 Ports with,Ambrane,699.0,1499.0,53.0,3.9,92.0,100.0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTc0MjI3MjY4OTAyMTU6MTc0Mzc3MDMxMDpzcF9hdGY6MzAwMDk4NzE5OTQzOTMyOjowOjo&url=%2FAmbrane-Extension-Electric-Protector-Smartstrip%2Fdp%2FB0CDLGB7MN%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.XMIG7Keqtl3xznn0MEIVW5KAllUpiYg8Wzts-VgfkGuk6BeicyvgnKibcpsOL1DfRmajvg3LmLIOljpB3Sm9Qsd107jKClZJb2wmxMm6Y5CdKlPLIAG-7bYa9MGxD9NSJsO7NBC0OvJ-HFqff2VJxoD-AlmvkLeROqm4BXmRqSfsduD0hYkpcJlyiYmydsPkjw2MkX-W8P2Sgjh2eVvDuIkUPKACm31IyLMB1AOTPlIpe1iZRRz6Hq6CK3ePTiqteVzqXsvHVR-_7leUFkixH3-grvILM2B9oMtL7jkuON0.6gsTS_eKWp3AzSVUHOjJFd2cdZFI3saR6mAKjfpDf1o%26dib_tag%3Dse%26keywords%3Delectronics%26qid%3D1743770309%26s%3Delectronics%26sr%3D1-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Portronics Beem 440 Smart LED Projector with 720p HD Resolution, Rotatable Design, Built-in Streaming Apps (Netflix, Prime Video, Hotstar), 2000 Lumens, Screen Mirroring, 3 Watts Speaker (White)",Portronics Beem 440 Smart LED Projector with 720p HD Resolution Rotatable Design Builtin Streaming Apps Netflix Prime Video Hotstar 2000 Lumens Screen Mirroring 3 Watts Speaker White,Portronics Beem 440 Smart LED Projector,Portronics,6799.0,19999.0,66.0,4.0,1570.0,500.0,https://www.amazon.in/Portronics-Projector-Resolution-Rotatable-Streaming/dp/B0CQG7XMXC/ref=sr_1_4?dib=eyJ2IjoiMSJ9.XMIG7Keqtl3xznn0MEIVW5KAllUpiYg8Wzts-VgfkGuk6BeicyvgnKibcpsOL1DfRmajvg3LmLIOljpB3Sm9Qsd107jKClZJb2wmxMm6Y5CdKlPLIAG-7bYa9MGxD9NSJsO7NBC0OvJ-HFqff2VJxoD-AlmvkLeROqm4BXmRqSfsduD0hYkpcJlyiYmydsPkjw2MkX-W8P2Sgjh2eVvDuIkUPKACm31IyLMB1AOTPlIpe1iZRRz6Hq6CK3ePTiqteVzqXsvHVR-_7leUFkixH3-grvILM2B9oMtL7jkuON0.6gsTS_eKWp3AzSVUHOjJFd2cdZFI3saR6mAKjfpDf1o&dib_tag=se&keywords=electronics&qid=1743770309&s=electronics&sr=1-4
"Portronics Ruffpad 8.5E Re-Writable LCD Writing Pad with Screen 21.5cm (8.5-inch) for Drawing, Playing, Handwriting Gifts for Kids & Adults, India's first notepad to save and share your child's first creatives via Ruffpad app on your Smartphone(Black)",Portronics Ruffpad 85E ReWritable LCD Writing Pad with Screen 215cm 85inch for Drawing Playing Handwriting Gifts for Kids  Adults Indias first notepad to save and share your childs first creatives via Ruffpad app on your SmartphoneBlack,Portronics Ruffpad 85E ReWritable LCD Writing,Portronics,199.0,799.0,75.0,4.0,7521.0,3.0,https://www.amazon.in/Portronics-Ruffpad-Re-Writable-8-5-inch-Handwriting/dp/B09GF6JBZN/ref=sr_1_5?dib=eyJ2IjoiMSJ9.XMIG7Keqtl3xznn0MEIVW5KAllUpiYg8Wzts-VgfkGuk6BeicyvgnKibcpsOL1DfRmajvg3LmLIOljpB3Sm9Qsd107jKClZJb2wmxMm6Y5CdKlPLIAG-7bYa9MGxD9NSJsO7NBC0OvJ-HFqff2VJxoD-AlmvkLeROqm4BXmRqSfsduD0hYkpcJlyiYmydsPkjw2MkX-W8P2Sgjh2eVvDuIkUPKACm31IyLMB1AOTPlIpe1iZRRz6Hq6CK3ePTiqteVzqXsvHVR-_7leUFkixH3-grvILM2B9oMtL7jkuON0.6gsTS_eKWp3AzSVUHOjJFd2cdZFI3saR6mAKjfpDf1o&dib_tag=se&keywords=electronics&qid=1743770309&s=electronics&sr=1-5
STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand Black,STRIFF Adjustable Laptop Tabletop Stand Patented,Striff Stand stand,249.0,1499.0,83.0,4.3,38645.0,5.0,https://www.amazon.in/STRIFF-Adjustable-Patented-Ventilated-Compatible/dp/B07XCM6T4N/ref=sr_1_6?dib=eyJ2IjoiMSJ9.XMIG7Keqtl3xznn0MEIVW5KAllUpiYg8Wzts-VgfkGuk6BeicyvgnKibcpsOL1DfRmajvg3LmLIOljpB3Sm9Qsd107jKClZJb2wmxMm6Y5CdKlPLIAG-7bYa9MGxD9NSJsO7NBC0OvJ-HFqff2VJxoD-AlmvkLeROqm4BXmRqSfsduD0hYkpcJlyiYmydsPkjw2MkX-W8P2Sgjh2eVvDuIkUPKACm31IyLMB1AOTPlIpe1iZRRz6Hq6CK3ePTiqteVzqXsvHVR-_7leUFkixH3-grvILM2B9oMtL7jkuON0.6gsTS_eKWp3AzSVUHOjJFd2cdZFI3saR6mAKjfpDf1o&dib_tag=se&keywords=electronics&qid=1743770309&s=electronics&sr=1-6
"Elfora Cable Organizer Pouch | Travel Organiser Bag | Double Layer Storage for USB Cables, Chargers, Earphone, Power Bank, Hard disc & Other Accessories | Durable Nylon Case with Mesh Pockets (Black)",Elfora Cable Organizer Pouch  Travel Organiser Bag  Double Layer Storage for USB Cables Chargers Earphone Power Bank Hard disc  Other Accessories  Durable Nylon Case with Mesh Pockets Black,Elfora Cable Organizer Pouch Travel Organiser,Elfora Cable organizer case,329.0,899.0,63.0,5.0,40.0,800.0,https://www.amazon.in/Elfora-Organizer-Organiser-Chargers-Accessories/dp/B0DVGK4PJZ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.XMIG7Keqtl3xznn0MEIVW5KAllUpiYg8Wzts-VgfkGuk6BeicyvgnKibcpsOL1DfRmajvg3LmLIOljpB3Sm9Qsd107jKClZJb2wmxMm6Y5CdKlPLIAG-7bYa9MGxD9NSJsO7NBC0OvJ-HFqff2VJxoD-AlmvkLeROqm4BXmRqSfsduD0hYkpcJlyiYmydsPkjw2MkX-W8P2Sgjh2eVvDuIkUPKACm31IyLMB1AOTPlIpe1iZRRz6Hq6CK3ePTiqteVzqXsvHVR-_7leUFkixH3-grvILM2B9oMtL7jkuON0.6gsTS_eKWp3AzSVUHOjJFd2cdZFI3saR6mAKjfpDf1o&dib_tag=se&keywords=electronics&qid=1743770309&s=electronics&sr=1-7
"JioTag Air for iOS|Apple Find My Network Item Finder| Worldwide Tracking for Keys, Wallets, Luggage, Pets, Gadgets and More|1+1 Year Battery| No SIM Needed|120db Sound| BT 5.3",JioTag Air for iOSApple Find My Network Item Finder Worldwide Tracking for Keys Wallets Luggage Pets Gadgets and More11 Year Battery No SIM Needed120db Sound BT 53,JioTag Air for iOSApple Find My,Jiotag,1499.0,2999.0,50.0,3.6,622.0,500.0,https://www.amazon.in/Tracking-Tracker-Wallets-Luggage-Gadgets/dp/B0D59VZ1RS/ref=sr_1_8?dib=eyJ2IjoiMSJ9.XMIG7Keqtl3xznn0MEIVW5KAllUpiYg8Wzts-VgfkGuk6BeicyvgnKibcpsOL1DfRmajvg3LmLIOljpB3Sm9Qsd107jKClZJb2wmxMm6Y5CdKlPLIAG-7bYa9MGxD9NSJsO7NBC0OvJ-HFqff2VJxoD-AlmvkLeROqm4BXmRqSfsduD0hYkpcJlyiYmydsPkjw2MkX-W8P2Sgjh2eVvDuIkUPKACm31IyLMB1AOTPlIpe1iZRRz6Hq6CK3ePTiqteVzqXsvHVR-_7leUFkixH3-grvILM2B9oMtL7jkuON0.6gsTS_eKWp3AzSVUHOjJFd2cdZFI3saR6mAKjfpDf1o&dib_tag=se&keywords=electronics&qid=1743770309&s=electronics&sr=1-8
"Boult X Mustang Newly Launched Torq TWS Earbuds with 60H Playtime, App Support, 4 Mics ENC, 45ms Low Latency, 13mm Driver, Breathing LEDs, Touch Control, Made in India, IPX5 Ear buds Wireless (Silver)",Boult X Mustang Newly Launched Torq TWS Earbuds with 60H Playtime App Support 4 Mics ENC 45ms Low Latency 13mm Driver Breathing LEDs Touch Control Made in India IPX5 Ear buds Wireless Silver,Boult X Mustang Newly Launched Torq,Boult Earbuds,1999.0,5999.0,67.0,4.1,5302.0,3.0,https://www.amazon.in/Boult-Launched-Earbuds-Playtime-Breathing/dp/B0DN1RPL19/ref=sr_1_9?dib=eyJ2IjoiMSJ9.XMIG7Keqtl3xznn0MEIVW5KAllUpiYg8Wzts-VgfkGuk6BeicyvgnKibcpsOL1DfRmajvg3LmLIOljpB3Sm9Qsd107jKClZJb2wmxMm6Y5CdKlPLIAG-7bYa9MGxD9NSJsO7NBC0OvJ-HFqff2VJxoD-AlmvkLeROqm4BXmRqSfsduD0hYkpcJlyiYmydsPkjw2MkX-W8P2Sgjh2eVvDuIkUPKACm31IyLMB1AOTPlIpe1iZRRz6Hq6CK3ePTiqteVzqXsvHVR-_7leUFkixH3-grvILM2B9oMtL7jkuON0.6gsTS_eKWp3AzSVUHOjJFd2cdZFI3saR6mAKjfpDf1o&dib_tag=se&keywords=electronics&qid=1743770309&s=electronics&sr=1-9
"Portronics Power Plate 7 with 6 USB Port + 8 Power Sockets Smart Electric Universal Extension Board Multi Plug with 2500W, 3Mtr Cord Length, 2.1A USB Output(Black), 250 Volts",Portronics Power Plate 7 with 6 USB Port  8 Power Sockets Smart Electric Universal Extension Board Multi Plug with 2500W 3Mtr Cord Length 21A USB OutputBlack 250 Volts,Portronics Power Plate 7 with 6,Portronics,799.0,1999.0,60.0,4.2,26471.0,2.0,https://www.amazon.in/Portronics-Sockets-Electric-Universal-Extension/dp/B09RH8SRX2/ref=sr_1_10?dib=eyJ2IjoiMSJ9.XMIG7Keqtl3xznn0MEIVW5KAllUpiYg8Wzts-VgfkGuk6BeicyvgnKibcpsOL1DfRmajvg3LmLIOljpB3Sm9Qsd107jKClZJb2wmxMm6Y5CdKlPLIAG-7bYa9MGxD9NSJsO7NBC0OvJ-HFqff2VJxoD-AlmvkLeROqm4BXmRqSfsduD0hYkpcJlyiYmydsPkjw2MkX-W8P2Sgjh2eVvDuIkUPKACm31IyLMB1AOTPlIpe1iZRRz6Hq6CK3ePTiqteVzqXsvHVR-_7leUFkixH3-grvILM2B9oMtL7jkuON0.6gsTS_eKWp3AzSVUHOjJFd2cdZFI3saR6mAKjfpDf1o&dib_tag=se&keywords=electronics&qid=1743770309&s=electronics&sr=1-10
